,SPY,QQQ,TSLA,AAPL,NVDA,TLT,IEF,BND,EURUSD,USDJPY,GBPUSD,GLD,USO,DBA,CDX_IG,CDX_HY
2024-05-09,100.55071097920951,99.86700348269373,100.65432340835454,99.22157915749821,100.93434643845475,99.49018881247699,99.47195585176802,99.76420234674026,100.38784473206744,99.4057521100187,100.65127180493465,100.45255997758112,100.9458916750216,100.02451829448592,101.15003369071351,100.15189169805892
2024-05-10,100.65061909346937,100.24601410165039,101.8145013271284,99.2045023030396,101.37553563300258,99.39024246776562,98.74226375705979,99.49750675413834,100.70006729780845,99.04333561812857,100.08804867321504,99.56365451953587,101.14360034486384,99.84311142694757,100.86866349165562,100.5464180966381
2024-05-13,100.5933090248954,100.24999552008089,102.19636150364713,99.38802276500878,102.08354582036792,99.57414571393161,98.10613997137439,98.74071568841951,100.77267157672422,98.60730325562804,100.29711180767045,99.82745342861686,101.68143242145484,99.82417927639692,101.82790143798775,100.75545359613989
2024-05-14,100.71636129375825,100.24701653685852,102.08526241303406,100.4685837405848,102.36304363874997,99.70385897348763,98.22263866786308,98.49797101123586,100.10383849046347,98.30143040381972,99.63740858708464,99.71068827739045,101.75191925938205,100.19706907882289,101.71383883521834,99.8069935363273
2024-05-15,100.65291423818388,99.34096966859832,101.48742430048945,100.77689388687301,102.15644867994345,98.6313199766464,97.78202926595576,98.52909192625975,99.92059770934219,98.09178339407416,100.22828807171757,100.0781555239475,101.30159971977338,100.80802569576277,101.17565516255294,100.03442190751058
2024-05-16,100.32516674730823,99.35306089664223,100.97963587805772,99.99255517266923,101.28963801121218,98.67218220065733,97.76864273280772,97.72996722814847,100.38664264910634,98.43454059322896,100.14354861622657,100.56772722588659,100.10646320480659,101.07550655494764,100.9843072377355,99.39945527122148
2024-05-17,100.55595669433943,99.26242705260142,102.50605157259942,100.09450107460233,101.28619836240478,96.95476494882584,97.8052978696924,98.00114093513785,99.94485810376436,98.15887462243637,100.86602155993948,101.5985682413174,100.15642907764351,101.11806993961838,101.33937431129726,98.97807499746068
2024-05-20,100.90678649675242,98.68194720921376,102.74109845095411,99.18909606773137,100.9559894681947,96.7405589191183,97.98616512193783,98.252055265334,98.64360183404455,97.42886133390607,101.06903372472998,102.17402672917926,99.67689981396705,101.83051636659985,101.10856584515795,99.85071664578055
2024-05-21,100.75330808845284,98.7554308006929,101.55435909484949,99.51827194248278,100.78021220198366,96.60014812949865,98.36575781146047,97.9110209929709,98.48443719983865,98.03551976672627,100.40463575641915,102.76696251595577,99.17045400884163,101.61444547582377,100.9809433750692,100.36518808220514
2024-05-22,101.59621120516655,99.33946175902696,101.05751550401179,99.38717925513608,100.70932318838311,96.76614916595095,98.216062983031,97.73896977185689,98.44628508697527,97.58003653996725,101.15488308587743,103.53544163710858,98.93122210270239,102.15131834801699,101.28376432907675,100.93887763516231
2024-05-23,100.81868574395794,98.27441418620172,100.83768986231145,99.129832636626,100.8796147241878,97.24156654580851,98.00494662961535,98.84307061414911,98.40670553294468,97.70202995964725,101.83248144749699,103.54140165728577,99.78359627439362,101.97326647785462,101.36442792776579,101.28475909177833
2024-05-24,100.37318402819852,97.46078075878812,100.30590691537067,99.41814595207904,99.69469697187758,96.84402125924827,98.73006783668329,99.34917249909347,98.66898179440882,98.03666743340875,102.18241984285336,103.39947996879984,100.84306484497438,102.10806711919467,101.89123096593826,101.1121035330472
