timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score,perturbation,response,attractor_state,mutation_count,metabolic_activity,tissue_remodeling_index,angiogenesis_factor,organ_dysfunction_score
t1,Micro_Somatic,0.12,0.94,0.88,0.01,0.98,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,0.895308901731806,1.0308833012598964,1.0778361076166638,0.9949922961760024
t2,Micro_Somatic,0.13673469387755102,0.923265306122449,0.863265306122449,0.029795918367346935,0.9604081632653061,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,1.0536652752527287,1.1702214944635239,0.9448814283671466,0.9898163124911517
t3,Micro_Somatic,0.15346938775510205,0.906530612244898,0.8465306122448979,0.049591836734693875,0.9408163265306122,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,1.1185704154662997,1.0240753179488569,0.9181801116577692,0.956100870662172
t4,Micro_Somatic,0.17020408163265305,0.8897959183673468,0.8297959183673469,0.0693877551020408,0.9212244897959183,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,1.0718953310665067,1.2601683114180395,0.9996625542589048,0.958655982298007
t5,Micro_Somatic,0.18693877551020407,0.8730612244897958,0.8130612244897959,0.08918367346938774,0.9016326530612244,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,1.0996047685805816,1.0565509645631543,0.9829815377475072,0.9886760554049236
t6,Micro_Somatic,0.2036734693877551,0.8563265306122448,0.7963265306122449,0.10897959183673468,0.8820408163265306,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,0.9243204911430539,0.8239237240844182,0.9546771950672724,1.018368275340809
t7,Micro_Somatic,0.2204081632653061,0.8395918367346938,0.7795918367346939,0.12877551020408162,0.8624489795918368,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,0.8578189333258156,1.0753341621104533,1.0696387447456714,1.0456792313116625
t8,Micro_Somatic,0.23714285714285713,0.8228571428571428,0.7628571428571429,0.14857142857142858,0.8428571428571429,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,1.1501333651955488,1.0381158384882778,1.0955305208570512,0.9598410524659827
t9,Micro_Somatic,0.25387755102040815,0.8061224489795917,0.7461224489795919,0.1683673469387755,0.823265306122449,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,0.9677320161157864,1.1289752754082745,1.0088406886291847,1.074634428447976
t10,Micro_Somatic,0.2706122448979592,0.7893877551020407,0.7293877551020408,0.18816326530612243,0.8036734693877551,Somatic_Mutation,Local_Mitosis,Local_Niche,1.0,0.9749166983544952,1.0673181351269958,1.1477530081055263,0.9864438199478716
t11,Micro_Somatic,0.2873469387755102,0.7726530612244897,0.7126530612244898,0.20795918367346938,0.7840816326530612,Somatic_Mutation,Local_Mitosis,Local_Niche,4.2,1.1328194141849057,0.9861544016016226,0.8858310885866495,0.9989316352825782
t12,Micro_Somatic,0.3040816326530612,0.7559183673469387,0.6959183673469388,0.2277551020408163,0.7644897959183674,Somatic_Mutation,Local_Mitosis,Local_Niche,4.2,1.055623000940066,0.8775701763710634,0.9806340540720282,0.9626394160426088
t13,Micro_Somatic,0.3208163265306122,0.7391836734693877,0.6791836734693878,0.24755102040816324,0.7448979591836735,Somatic_Mutation,Local_Mitosis,Local_Niche,4.2,1.0455887772081607,0.9790976742713975,0.9283177679397195,0.8787879869863529
t14,Micro_Somatic,0.33755102040816326,0.7224489795918367,0.6624489795918367,0.2673469387755102,0.7253061224489796,Somatic_Mutation,Local_Mitosis,Local_Niche,4.2,1.2165002344901084,0.91494795457907,0.813346338292694,1.0442022698180524
t15,Micro_Somatic,0.35428571428571426,0.7057142857142857,0.6457142857142857,0.28714285714285714,0.7057142857142857,Somatic_Mutation,Local_Mitosis,Local_Niche,4.2,0.9356481769619857,0.9419476550195277,0.9917319314157301,1.0368421948546216
t16,Tissue_Remodeling,0.3710204081632653,0.6889795918367346,0.6289795918367347,0.30693877551020404,0.6861224489795918,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,1.0927840128081237,1.058857840442061,0.9878252491616717,0.9859336221440893
t17,Tissue_Remodeling,0.3877551020408163,0.6722448979591836,0.6122448979591837,0.326734693877551,0.666530612244898,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,1.5914155982039941,1.1669904504351407,1.1513449743242132,1.0033495358612436
t18,Tissue_Remodeling,0.4044897959183673,0.6555102040816326,0.5955102040816327,0.34653061224489795,0.6469387755102041,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,2.198287799314897,1.039467152982298,1.0630811684554777,1.025796960885205
t19,Tissue_Remodeling,0.42122448979591837,0.6387755102040815,0.5787755102040817,0.36632653061224485,0.6273469387755102,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,2.90998969978411,0.8804116937964815,0.8975813175670795,0.9218727071556728
t20,Tissue_Remodeling,0.43795918367346937,0.6220408163265305,0.5620408163265307,0.3861224489795918,0.6077551020408163,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,3.393640718486105,1.044460266822014,1.185409256633419,0.9735473661326852
t21,Tissue_Remodeling,0.4546938775510204,0.6053061224489795,0.5453061224489796,0.40591836734693876,0.5881632653061224,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,3.982401036476391,1.1196631486645652,1.1221033695525353,1.0397132339810913
t22,Tissue_Remodeling,0.4714285714285714,0.5885714285714285,0.5285714285714286,0.42571428571428566,0.5685714285714285,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,4.621536448016695,1.4747359952823473,1.0582097703468616,0.9372855288415375
t23,Tissue_Remodeling,0.4881632653061224,0.5718367346938775,0.5118367346938776,0.4455102040816326,0.5489795918367347,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,5.063504727045711,2.0580268547612794,0.9773515901150168,1.0146778966083314
t24,Tissue_Remodeling,0.5048979591836735,0.5551020408163265,0.49510204081632647,0.46530612244897956,0.5293877551020408,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,5.601793318980384,2.608611676615777,0.9040560763276521,0.9321709097688298
t25,Tissue_Remodeling,0.5216326530612245,0.5383673469387755,0.4783673469387755,0.48510204081632646,0.509795918367347,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,6.166947652026467,3.064367311548919,0.9627793223928947,1.0233214991216764
t26,Tissue_Remodeling,0.5383673469387755,0.5216326530612245,0.4616326530612245,0.5048979591836734,0.49020408163265305,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,6.660507198205256,3.743399471955814,1.1088748619704185,0.9982179258851258
t27,Tissue_Remodeling,0.5551020408163265,0.5048979591836734,0.4448979591836735,0.5246938775510204,0.47061224489795916,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,7.648477855851175,4.202190899424936,1.8170300591648894,0.9192434092047246
t28,Tissue_Remodeling,0.5718367346938775,0.4881632653061224,0.4281632653061225,0.5444897959183673,0.4510204081632653,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,7.91825059199926,4.791953244390703,2.411467209970076,1.0582369677228585
t29,Tissue_Remodeling,0.5885714285714285,0.4714285714285714,0.4114285714285715,0.5642857142857143,0.4314285714285715,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,8.592160351927136,5.196965067934076,2.836829343535659,0.9632704211600975
t30,Tissue_Remodeling,0.6053061224489795,0.45469387755102036,0.3946938775510205,0.5840816326530611,0.4118367346938776,Metabolic_Rewiring,Stroma_Destabilization,Neoplastic_Matrix,4.2,9.172318670011107,5.77768274139623,3.4023239709568136,0.959487378149281
t31,Angiogenesis_Factor,0.6220408163265306,0.4379591836734693,0.37795918367346937,0.6038775510204081,0.3922448979591837,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.53074066978091,6.429380992925634,4.1569457675482635,1.0100284598615472
t32,Angiogenesis_Factor,0.6387755102040816,0.4212244897959183,0.36122448979591837,0.623673469387755,0.3726530612244898,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.58157372125393,6.855573827647966,4.594584634872287,1.6931461531857215
t33,Angiogenesis_Factor,0.6555102040816326,0.4044897959183673,0.34448979591836737,0.643469387755102,0.35306122448979593,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.586047348835974,7.601267813694769,5.432316771418479,2.2206374804796516
t34,Angiogenesis_Factor,0.6722448979591836,0.3877551020408163,0.32775510204081637,0.6632653061224489,0.33346938775510204,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.441692256143106,7.924322095724254,6.013811169941563,2.910226849635256
t35,Angiogenesis_Factor,0.6889795918367346,0.3710204081632653,0.31102040816326537,0.6830612244897959,0.31387755102040815,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.483287828621359,8.522468472575188,6.610539206956034,3.5642979678736717
t36,Angiogenesis_Factor,0.7057142857142857,0.3542857142857142,0.29428571428571426,0.7028571428571428,0.29428571428571426,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.528257995048829,8.89325908318731,7.126243978987607,4.213226708934586
t37,Angiogenesis_Factor,0.7224489795918367,0.3375510204081632,0.27755102040816326,0.7226530612244897,0.27469387755102037,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.475130887381646,8.658163426706697,7.9656457249426875,4.823107792049576
t38,Angiogenesis_Factor,0.7391836734693877,0.3208163265306122,0.26081632653061226,0.7424489795918366,0.2551020408163266,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.660734557602,8.623919118801924,8.489587058890953,5.431648608045834
t39,Angiogenesis_Factor,0.7559183673469387,0.3040816326530612,0.24408163265306126,0.7622448979591836,0.2355102040816327,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.549097495163824,8.64743436854299,9.054436887857543,6.04433477468185
t40,Angiogenesis_Factor,0.7726530612244897,0.2873469387755102,0.22734693877551027,0.7820408163265306,0.2159183673469388,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.573487778604981,8.926258410342719,9.512773778671836,6.725735765580891
t41,Angiogenesis_Factor,0.7893877551020408,0.2706122448979591,0.21061224489795916,0.8018367346938775,0.19632653061224492,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.566288126866741,8.744814185410757,9.897248509494936,7.303535906543577
t42,Angiogenesis_Factor,0.8061224489795918,0.2538775510204081,0.19387755102040816,0.8216326530612245,0.17673469387755103,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.617347385748532,9.055819928566827,10.077225159666975,7.846789618682413
t43,Angiogenesis_Factor,0.8228571428571428,0.2371428571428571,0.17714285714285716,0.8414285714285713,0.15714285714285714,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.518102155870372,8.743575240134263,10.066125921454788,8.650399418779314
t44,Angiogenesis_Factor,0.8395918367346938,0.2204081632653061,0.16040816326530616,0.8612244897959183,0.13755102040816325,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.370316805204416,8.818455130319704,9.854290374341373,9.309482456340026
t45,Angiogenesis_Factor,0.8563265306122448,0.2036734693877551,0.14367346938775516,0.8810204081632652,0.11795918367346947,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.539968795175264,8.954210995256789,9.839778793963822,9.781853378222909
t46,Organ_Dysfunction,0.8730612244897958,0.1869387755102041,0.12693877551020416,0.9008163265306122,0.09836734693877558,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.434864310620817,9.000609288815912,9.946877425607502,9.949513464764504
t47,Organ_Dysfunction,0.889795918367347,0.170204081632653,0.11020408163265305,0.9206122448979591,0.07877551020408169,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.447138331825025,9.00615035766364,9.800161456081172,10.03095771305026
t48,Organ_Dysfunction,0.906530612244898,0.153469387755102,0.09346938775510205,0.9404081632653061,0.0591836734693878,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.558636401875509,8.920836623059316,9.930179189981947,10.102874773485585
t49,Organ_Dysfunction,0.923265306122449,0.136734693877551,0.07673469387755105,0.9602040816326529,0.03959183673469391,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.623828307143363,8.902406252581146,9.97660802783847,10.00103968538377
t50,Organ_Dysfunction,0.94,0.12,0.06000000000000005,0.98,0.02,Capillary_Sprouting,Systemic_Vascularization,Vascular_Tumor_Attractor,4.2,9.502127157673605,8.85925269492012,10.022693322388431,9.963599852938543
