timestep,state_id,entropy_H,coherence_k,emergence_eta,bifurcation_B,reducibility_score
0,GRID_STABLE,0.20396902402143083,0.8959621644671615,0.0,0.1,0.85
1,GRID_STABLE,0.11508704922281311,0.9214639491407872,0.0,0.1,0.85
2,GRID_STABLE,0.171886339746962,0.9003458010320601,0.0,0.1,0.85
3,GRID_STABLE,0.1814836152094667,0.8778450650061962,0.0,0.1,0.85
4,GRID_STABLE,0.16123877014355611,0.876161283129091,0.0,0.1,0.85
5,GRID_STABLE,0.14066006617402338,0.8717407749199438,0.0,0.1,0.85
6,GRID_STABLE,0.15773553957543976,0.908270737900918,0.0,0.1,0.85
7,GRID_STABLE,0.1650005439132812,0.9183324909355896,0.0,0.1,0.85
8,GRID_STABLE,0.16340038528678094,0.8926087587057806,0.0,0.1,0.85
9,GRID_STABLE,0.15033416408756797,0.906175871063495,0.0,0.1,0.85
10,GRID_STABLE,0.16957902536323788,0.9169989245702516,0.0,0.1,0.85
11,GRID_STABLE,0.16715701675728836,0.9391067227919654,0.0,0.1,0.85
12,GRID_STABLE,0.153891387122304,0.9079395290543992,0.0,0.1,0.85
13,GRID_STABLE,0.1365733638095835,0.876781371860908,0.0,0.1,0.85
14,GRID_STABLE,0.17034285972365712,0.9181603231844699,0.0,0.1,0.85
15,GRID_STABLE,0.14502613452289898,0.8772068746364592,0.0,0.1,0.85
16,GRID_STABLE,0.14646723140320403,0.8869590090438774,0.0,0.1,0.85
17,GRID_STABLE,0.16800994311826653,0.9160148258721859,0.0,0.1,0.85
18,GRID_STABLE,0.16743561231747206,0.9266278503099616,0.0,0.1,0.85
19,GRID_STABLE,0.12523091218417082,0.8963844114557976,0.0,0.1,0.85
20,GRID_STABLE,0.16110599801793513,0.8764371199222077,0.0,0.1,0.85
21,GRID_STABLE,0.1789809769861603,0.8795058002204486,0.0,0.1,0.85
22,GRID_STABLE,0.16306376516159218,0.9303496568536864,0.0,0.1,0.85
23,GRID_STABLE,0.14590797573489162,0.8843283403268659,0.0,0.1,0.85
24,GRID_STABLE,0.11274797675577408,0.9035301766932659,0.0,0.1,0.85
25,GRID_STABLE,0.17639301611753982,0.9443333392423684,0.0,0.1,0.85
26,GRID_STABLE,0.15753352742995,0.8606022934425671,0.0,0.1,0.85
27,GRID_STABLE,0.14324127532223446,0.9083731082239047,0.0,0.1,0.85
28,GRID_STABLE,0.13249785733288047,0.909685907357284,0.0,0.1,0.85
29,GRID_STABLE,0.15155305297954932,0.9071402505299206,0.0,0.1,0.85
30,GRID_STABLE,0.14644143183050262,0.8853667965851515,0.0,0.1,0.85
31,GRID_STABLE,0.11305245943770525,0.909951388037266,0.0,0.1,0.85
32,GRID_STABLE,0.11447311413184562,0.8606111355703012,0.0,0.1,0.85
33,GRID_STABLE,0.1347715596469162,0.9199081004816138,0.0,0.1,0.85
34,GRID_STABLE,0.1481736453110871,0.8793450006952621,0.0,0.1,0.85
35,GRID_STABLE,0.15602711319476503,0.8863291081466191,0.0,0.1,0.85
36,GRID_STABLE,0.14303924274289895,0.9074713507490465,0.0,0.1,0.85
37,GRID_STABLE,0.14486691808505012,0.8707459321559065,0.0,0.1,0.85
38,GRID_STABLE,0.14640195205562678,0.8535658625544864,0.0,0.1,0.85
39,GRID_STABLE,0.13524503122327802,0.8879622821068224,0.0,0.1,0.85
40,GRID_STABLE,0.1429882842098412,0.8614447352149645,0.0,0.1,0.85
41,GRID_STABLE,0.19061735750001896,0.9284451852075243,0.0,0.1,0.85
42,GRID_STABLE,0.1598822642965337,0.9454109139347037,0.0,0.1,0.85
43,GRID_STABLE,0.15057394650503267,0.9241124157989514,0.0,0.1,0.85
44,GRID_STABLE,0.16623453680049372,0.9001406261670362,0.0,0.1,0.85
45,GRID_STABLE,0.1353359234209375,0.8877790298290567,0.0,0.1,0.85
46,GRID_STABLE,0.15623932143956537,0.8841714685352324,0.0,0.1,0.85
47,GRID_STABLE,0.14165576733661536,0.9038631296746684,0.0,0.1,0.85
48,GRID_STABLE,0.1246095898786587,0.8761855246014508,0.0,0.1,0.85
49,GRID_STABLE,0.15831436945111443,0.8771581315702717,0.0,0.1,0.85
50,GRID_STABLE,0.19444484876807705,0.9331794919620002,0.0,0.1,0.85
51,GRID_STABLE,0.15985308153323224,0.8904309796852882,0.0,0.1,0.85
52,GRID_STABLE,0.15598653501872875,0.8880574038441138,0.0,0.1,0.85
53,GRID_STABLE,0.1544962013246017,0.8568139638678631,0.0,0.1,0.85
54,GRID_STABLE,0.14608019358791735,0.9143421347139261,0.0,0.1,0.85
55,GRID_STABLE,0.13071497579876384,0.909851705454793,0.0,0.1,0.85
56,GRID_STABLE,0.13204290152393414,0.8978983342561205,0.0,0.1,0.85
57,GRID_STABLE,0.12523704167057717,0.9037806187082799,0.0,0.1,0.85
58,GRID_STABLE,0.14987942065123444,0.883963162255291,0.0,0.1,0.85
59,GRID_STABLE,0.17143830571508686,0.9259738919059909,0.0,0.1,0.85
60,GRID_STABLE,0.1502592258105939,0.9138978485686795,0.0,0.1,0.85
61,GRID_STABLE,0.14559483034363518,0.9097087695609757,0.0,0.1,0.85
62,GRID_STABLE,0.15038327688562758,0.9307644739043379,0.0,0.1,0.85
63,GRID_STABLE,0.15804976011241484,0.8762767923047228,0.0,0.1,0.85
64,GRID_STABLE,0.15962825661231578,0.8794734889712248,0.0,0.1,0.85
65,GRID_STABLE,0.15164172741760382,0.8995090539141687,0.0,0.1,0.85
66,GRID_STABLE,0.13630739636260306,0.8947416204893913,0.0,0.1,0.85
67,GRID_STABLE,0.16858678486082773,0.9060173217592771,0.0,0.1,0.85
68,GRID_STABLE,0.15698037410231985,0.941765492901423,0.0,0.1,0.85
69,GRID_STABLE,0.17350567018015503,0.8967569849499483,0.0,0.1,0.85
70,GRID_STABLE,0.1301356290354038,0.8989162732602868,0.0,0.1,0.85
71,GRID_STABLE,0.1403490686296111,0.9045051092717364,0.0,0.1,0.85
72,GRID_STABLE,0.14522680162279103,0.8802250168760332,0.0,0.1,0.85
73,GRID_STABLE,0.1588254729162391,0.8772124018241076,0.0,0.1,0.85
74,GRID_STABLE,0.1314056282128615,0.9444162617032213,0.0,0.1,0.85
